userID,movieID,rating
1,110,1.0
1,147,4.5
1,858,5.0
1,1221,5.0
1,1246,5.0
1,1968,4.0
1,2762,4.5
1,2918,5.0
1,2959,4.0
1,4226,4.0
1,4878,5.0
1,5577,5.0
1,33794,4.0
1,54503,3.5
1,58559,4.0
1,59315,5.0
1,68358,5.0
1,69844,5.0
1,73017,5.0
1,81834,5.0
1,91500,2.5
1,91542,5.0
1,92439,5.0
1,96821,5.0
1,98809,0.5
1,99114,4.0
1,112552,5.0
2,5,3.0
2,25,3.0
2,32,2.0
2,58,3.0
2,64,4.0
2,79,4.0
2,141,3.0
2,260,4.0
2,339,5.0
2,377,4.0
2,605,4.0
2,628,4.0
2,648,4.0
2,762,3.0
2,780,3.0
2,786,1.0
2,788,1.0
